Rk,Winner,WinnerPoints,Loser,LoserPoints
296,Appalachian State,31,Wyoming,13
297,Arizona State,38,(7) UCLA,23
298,Arkansas,24,Tennessee,20
299,Arkansas State,49,Idaho,35
300,Auburn,35,San Jose State,21
301,(5) Baylor,63,Texas Tech,35
302,Boise State,55,Hawaii,0
303,Bowling Green State,28,Buffalo,22
304,(24) California,34,Washington State,28
305,Central Michigan,29,Northern Illinois,19
306,(12) Clemson,24,(6) Notre Dame,22
307,Duke,9,Boston College,7
308,East Carolina,49,Southern Methodist,23
309,(25) Florida,38,(3) Mississippi,10
310,(11) Florida State,24,Wake Forest,16
311,Georgia Southern,51,Louisiana-Monroe,31
312,Houston,38,Tulsa,24
313,Illinois,14,Nebraska,13
314,Iowa,10,(19) Wisconsin,6
315,Iowa State,38,Kansas,13
316,Kent State,20,Miami (OH),14
317,Kentucky,34,Eastern Kentucky,27
318,Liberty,41,Georgia State,33
319,(9) Louisiana State,44,Eastern Michigan,22
320,Louisiana Tech,43,Louisiana-Lafayette,14
321,Louisville,20,North Carolina State,13
322,Marshall,27,Old Dominion,7
323,Massachusetts,24,Florida International,14
324,(22) Michigan,28,Maryland,0
325,(2) Michigan State,24,Purdue,21
326,Missouri,24,South Carolina,10
327,Navy,33,Air Force,11
328,Nevada-Las Vegas,23,Nevada,17
329,New Mexico,38,New Mexico State,29
330,North Carolina,38,Georgia Tech,31
331,(16) Northwestern,27,Minnesota,0
332,Ohio,14,Akron,12
333,(1) Ohio State,34,Indiana,27
334,(15) Oklahoma,44,(23) West Virginia,24
335,(20) Oklahoma State,36,Kansas State,34
336,Oregon,41,Colorado,24
337,Penn State,20,Army,14
338,Pittsburgh,17,Virginia Tech,13
339,San Diego State,21,Fresno State,7
340,South Alabama,24,Troy,18
341,Southern Mississippi,49,North Texas,14
342,(18) Stanford,55,Arizona,17
343,(14) Texas A&M,30,(21) Mississippi State,17
344,(4) Texas Christian,50,Texas,7
345,Texas-San Antonio,25,Texas-El Paso,6
346,Toledo,24,Ball State,10
347,Tulane,45,Central Florida,31
348,Utah State,33,Colorado State,18
349,Vanderbilt,17,Middle Tennessee State,13
350,Western Kentucky,49,Rice,10
351,Houston,49,Southern Methodist,28
352,Washington,17,(17) Southern California,12
353,Marshall,31,Southern Mississippi,10
354,Virginia Tech,28,North Carolina State,13
355,Air Force,31,Wyoming,17
356,Akron,47,Eastern Michigan,21
357,(8) Alabama,27,Arkansas,14
358,Appalachian State,37,Georgia State,3
359,Arizona,44,Oregon State,7
360,Arizona State,48,Colorado,23
361,(3) Baylor,66,Kansas,7
362,(25) Boise State,41,Colorado State,10
363,Bowling Green State,62,Massachusetts,38
364,Brigham Young,45,East Carolina,38
365,(6) Clemson,43,Georgia Tech,24
366,Connecticut,40,Central Florida,13
367,Duke,44,Army,3
368,(11) Florida,21,Missouri,3
369,Florida International,52,Texas-El Paso,12
370,(12) Florida State,29,Miami (FL),24
371,(22) Iowa,29,Illinois,20
372,(7) Louisiana State,45,South Carolina,24
373,Louisiana Tech,34,Texas-San Antonio,31
374,Louisiana-Lafayette,49,Texas State,27
375,(18) Michigan,38,(13) Northwestern,0
376,(4) Michigan State,31,Rutgers,24
377,Minnesota,41,Purdue,13
378,(14) Mississippi,52,New Mexico State,3
379,Mississippi State,45,Troy,17
380,Nevada,35,New Mexico,17
381,Northern Illinois,59,Ball State,41
382,(15) Notre Dame,41,Navy,24
383,Ohio,34,Miami (OH),3
384,(1) Ohio State,49,Maryland,28
385,(21) Oklahoma State,33,West Virginia,26
386,Penn State,29,Indiana,7
387,Pittsburgh,26,Virginia,19
388,Portland State,66,North Texas,7
389,Rice,27,Florida Atlantic,26
390,San Diego State,28,Hawaii,14
391,San Jose State,33,Nevada-Las Vegas,27
392,South Florida,45,Syracuse,24
393,Temple,49,Tulane,10
394,Tennessee,38,(19) Georgia,31
395,Texas,24,(10) Oklahoma,17
396,(2) Texas Christian,52,Kansas State,45
397,Texas Tech,66,Iowa State,31
398,(24) Toledo,38,Kent State,7
399,Tulsa,34,Louisiana-Monroe,24
400,(5) Utah,30,(23) California,24
401,Utah State,56,Fresno State,14
402,Wake Forest,3,Boston College,0
403,Washington State,45,Oregon,38
404,Western Kentucky,58,Middle Tennessee State,28
405,Western Michigan,41,Central Michigan,39
406,Wisconsin,23,Nebraska,21
407,Arkansas State,49,South Alabama,31
408,Auburn,30,Kentucky,27
409,(15) Stanford,56,(18) UCLA,35
410,Western Kentucky,55,North Texas,28
411,Brigham Young,38,Cincinnati,24
412,Fresno State,31,Nevada-Las Vegas,28
413,(24) Houston,42,Tulane,7
414,Utah State,52,(21) Boise State,26
415,(10) Alabama,41,(9) Texas A&M,23
416,Appalachian State,59,Louisiana-Monroe,14
417,Arizona,38,Colorado,31
418,Army,21,Bucknell,14
419,(2) Baylor,62,West Virginia,38
420,Bowling Green State,59,Akron,10
421,Central Michigan,51,Buffalo,14
422,(5) Clemson,34,Boston College,17
423,Colorado State,38,Air Force,23
424,East Carolina,30,Tulsa,17
425,(11) Florida State,41,Louisville,21
426,Georgia,9,Missouri,6
427,Georgia Southern,56,New Mexico State,26
428,Georgia State,31,Ball State,19
429,Idaho,19,Troy,16
430,(17) Iowa,40,(20) Northwestern,10
431,Kent State,15,Massachusetts,10
432,(6) Louisiana State,35,(8) Florida,28
433,Marshall,33,Florida Atlantic,17
434,Memphis,37,(13) Mississippi,24
435,Miami (FL),30,Virginia Tech,20
436,(7) Michigan State,27,(12) Michigan,23
437,Middle Tennessee State,42,Florida International,34
438,Mississippi State,45,Louisiana Tech,20
439,Nebraska,48,Minnesota,25
440,New Mexico,28,Hawaii,27
441,North Carolina,50,Wake Forest,14
442,Northern Illinois,45,Miami (OH),12
443,(14) Notre Dame,41,Southern California,31
444,(1) Ohio State,38,Penn State,10
445,(19) Oklahoma,55,Kansas State,0
446,Old Dominion,37,Charlotte,34
447,Oregon,26,Washington,20
448,Pittsburgh,31,Georgia Tech,28
449,Rutgers,55,Indiana,52
450,San Diego State,30,San Jose State,7
451,South Carolina,19,Vanderbilt,10
452,South Florida,28,Connecticut,20
453,Southern Mississippi,32,Texas-San Antonio,10
454,Temple,30,Central Florida,16
455,(3) Texas Christian,45,Iowa State,21
456,Texas Tech,30,Kansas,20
457,(22) Toledo,63,Eastern Michigan,20
458,(4) Utah,34,Arizona State,18
459,Virginia,44,Syracuse,38
460,Washington State,52,Oregon State,31
461,Western Michigan,49,Ohio,14
462,Wisconsin,24,Purdue,7
463,Wyoming,28,Nevada,21
464,Arkansas State,37,Louisiana-Lafayette,27
465,Appalachian State,31,Georgia Southern,13
466,(22) Temple,24,East Carolina,14
467,UCLA,40,(20) California,24
468,(18) Memphis,66,Tulsa,42
469,San Diego State,48,Utah State,14
470,Air Force,42,Fresno State,14
471,(8) Alabama,19,Tennessee,14
472,Arkansas,54,Auburn,46
473,(2) Baylor,45,Iowa State,27
474,Boise State,34,Wyoming,14
475,Bowling Green State,48,Kent State,0
476,Brigham Young,70,Wagner,6
477,Buffalo,41,Ohio,17
478,Central Michigan,23,Ball State,21
479,Cincinnati,37,Connecticut,13
480,(6) Clemson,58,Miami (FL),0
481,Colorado,17,Oregon State,13
482,(23) Duke,45,Virginia Tech,43
483,Florida International,41,Old Dominion,12
484,Georgia Tech,22,(9) Florida State,16
485,(21) Houston,59,Central Florida,10
486,Idaho,27,Louisiana-Monroe,13
487,(5) Louisiana State,48,Western Kentucky,20
488,Louisiana Tech,45,Middle Tennessee State,16
489,Louisville,17,Boston College,14
490,Marshall,30,North Texas,13
491,(7) Michigan State,52,Indiana,26
492,(24) Mississippi,23,(15) Texas A&M,3
493,Mississippi State,42,Kentucky,16
494,Navy,31,Tulane,14
495,Nevada,30,Hawaii,20
496,North Carolina,26,Virginia,13
497,North Carolina State,35,Wake Forest,17
498,Northern Illinois,49,Eastern Michigan,21
499,Northwestern,30,Nebraska,28
500,(1) Ohio State,49,Rutgers,7
501,(17) Oklahoma,63,Texas Tech,27
502,(14) Oklahoma State,58,Kansas,10
503,Penn State,31,Maryland,30
504,(25) Pittsburgh,23,Syracuse,20
505,Rice,38,Army,31
506,San Jose State,31,New Mexico,21
507,South Florida,38,Southern Methodist,14
508,Southern California,42,(3) Utah,24
509,Southern Mississippi,44,Charlotte,10
510,(10) Stanford,31,Washington,14
511,Texas,23,Kansas State,9
512,Texas State,36,South Alabama,18
513,Texas-El Paso,27,Florida Atlantic,17
514,(19) Toledo,51,Massachusetts,35
515,Troy,52,New Mexico State,7
516,Vanderbilt,10,Missouri,3
517,Washington State,45,Arizona,42
518,Western Michigan,35,Miami (OH),13
519,Wisconsin,24,Illinois,13
